FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,abattoir_nom,abattoir_type,organisme,batiment_fonction,geometry
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f35,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Aire d'abattage des petits ruminants d'Agoe-Zongo,Traditionnel,Onaf,"Une parc,un bureau, une garde ,les toilettes",POINT (1.2078533333333332 6.254586666666667)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f36,Maritime,Avé,Avé 1,Tovégan,Togo volaille,autre,Nsp,Nsp,POINT (0.9204116666666666 6.521438333333333)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f37,Maritime,Vo,Vo 1,Vogan,Abattoir de Vogan,Traditionnel,Nsp,Nsp,POINT (1.523597 6.34023932)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f38,Maritime,Yoto,Yoto 1,Tabligbo,Abattoir de Tabligbo,Traditionnel,Commune de Tabligbo,Bureau ;espace de charcutage,POINT (1.5040724170116768 6.584192150105979)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f39,Maritime,Lacs,Lacs 1,Canton D’Aneho,Abattoir d'Aneho,Traditionnel,Néant,Abattoir,POINT (1.6080666766246687 6.239753721674982)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f3a,Maritime,Zio,Zio 3,Gamé-Sèva,Abattoir Terre Benie,industriel,Terre benie,Abbatoir chambre froide,POINT (1.1721360484811947 6.741413879028599)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f3b,Maritime,Zio,Zio 1,Tsévié,Abattoir municipal de Tsevie,Traditionnel,Mairie,Abattoir,POINT (1.2238086981517273 6.432770936946612)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f3c,Plateaux,Agou,Agou 1,Gadja,Agro Business Compagnie,industriel,Nsp,Bâtiment d'abatoir,POINT (0.8083770224078292 6.840944757328345)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f3d,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Abattoir de Kpalimé (Madjatom),Traditionnel,Nsp,Logement et pour l'abattage des bêtes,POINT (0.6597966666666667 6.908864999999999)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f3e,Plateaux,Wawa,Wawa 1,Badou,Abbatoir de Badou (Kessibo),autre,Nsp,Abattoir,POINT (0.6054233333333333 7.594971666666667)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f3f,Centrale,Blitta,Blitta 1,Pagala-Gare,Abattoir Pagala-Gare,Traditionnel,Préfecture de Blitta,Bureau + espace abattoir,POINT (0.9659467696364264 8.184796756275968)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f40,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Abattoir de Sotouboua - Watchalo,industriel,"Service veterinaire, mairie, assainissement","Abattoirs, salle technique",POINT (0.985188534922622 8.565621984342503)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f41,Centrale,Tchamba,Tchamba 1,Larini,Abattoir de Tchamba,Traditionnel,Mairie,Abattoir,POINT (1.4162791245869881 9.03811924930297)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f42,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Abattoirs Nada,autre,Etat,Nsp,POINT (1.1680557541113705 8.994438244316969)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f43,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Abattoir Meteo,Traditionnel,Nsp,Nsp,POINT (1.1333673742587582 8.983716258960895)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f44,Kara,Assoli,Assoli 1,Bafilo,Abattoir de Bafilo,industriel,Nsp,Abattoirs,POINT (1.252410488252738 9.352114946126179)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f45,Kara,Bassar,Bassar 1,Bassar,Abattoir de Bassar,Traditionnel,Synaboucto/ Marie de Bassar,Abattoir et stockage,POINT (0.7732836220948632 9.267103420875863)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f46,Kara,Bassar,Bassar 3,Kabou,Abattoir de Kabou,Traditionnel,Communauté des bouchers,Abattoir,POINT (0.8236950000000001 9.460353333333334)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f47,Kara,Bassar,Bassar 4,Sanda-Kagbanda,Aire d'abattage de Sanda,Traditionnel,Association des boucherS,Néant,POINT (0.9023702452753289 9.494679742934485)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f48,Kara,Bassar,Bassar 2,Bangeli,Abattoir de Bangeli,Traditionnel,DPAEDR,Néant,POINT (0.6199788324717902 9.423466523516502)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f49,Kara,Binah,Binah 2,Kétao,Abattoir de Ketao,Traditionnel,Mairie Binah 2,Abattoir des animaux,POINT (1.3215387073960347 9.659443951061418)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f4a,Kara,Dankpen,Dankpen 1,Guérin-Kouka,Abattoir du barrage,Traditionnel,Nsp,Abattoirs,POINT (0.614215 9.687988333333333)
_mview_agrianimaux_etablissements_abattoir.fid--830921d_193db4998a0_6f4b,Kara,Doufelgou,Doufelgou 1,Siou,Abattoir Borga,Traditionnel,Nsp,Vente des produits,POINT (1.200651151736665 9.822319944048223)
