FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,geometry
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cf3,Maritime,Avé,Avé 2,Badja,"MULTILINESTRING ((1.0278133333333335 6.362753333333334, 1.0277681593722332 6.362711176675924, 1.027744887937727 6.362674443828357, 1.0276983450687147 6.362602338601419, 1.0276997139766268 6.362547919555523, 1.0277188786873968 6.3624798957400435, 1.027712034147836 6.362415953345284, 1.027722985411133 6.362356092372767, 1.0277613148326725 6.362328882837501, 1.0277667904643208 6.36225813803906, 1.0278064887937728 6.362240451837929, 1.0278571383865216 6.362240451837929, 1.0279228459663037 6.362233649452715, 1.027977602282789 6.362266300900916, 1.0280200384280647 6.362293510439497, 1.0280036115331193 6.362338406175008, 1.0280063493489435 6.36240098810281, 1.0280282518755375 6.362458128117192, 1.0280569989416921 6.362496221456582, 1.028043309862571 6.362560163841352, 1.028076163652462 6.362602338601421, 1.0280898527315834 6.3626839671594615, 1.0280597367575166 6.362723420957867, 1.0280173006122406 6.362723420957867, 1.0279433795849855 6.362749269996558, 1.0278174400570699 6.362760153801934))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cf4,Maritime,Avé,Avé 2,Badja,"MULTILINESTRING ((1.0064290926459896 6.343903236597303, 1.0063164947471355 6.343791328170628, 1.0062192511072159 6.343689593216198, 1.0061322436399196 6.343577684743131, 1.0060145276547536 6.343496296747458, 1.0060401180863114 6.343358954475614, 1.0060759446904923 6.3431605711294505, 1.006127125553608 6.343007968503518, 1.006239723452462 6.342819758535979, 1.0063625575239394 6.342651895533977, 1.0065519267174667 6.3425501603546435, 1.006905074672964 6.342453511915679, 1.0071968055927225 6.342316169365977, 1.0076420791018275 6.342316169365977, 1.0079235738489631 6.342433164873587, 1.008051526006752 6.342880799614063, 1.0080873526109326 6.343318260462113, 1.0082050685960984 6.343725200452535, 1.0083739654443797 6.344116879889841, 1.0083944377896261 6.344238961731525, 1.0080259355751944 6.3442694821874275, 1.0077342046554356 6.344310176125819, 1.0076676695333853 6.344478038587715, 1.007596016325024 6.344579773386494, 1.00738617478625 6.344493298808812, 1.0071456247296071 6.344376303768852, 1.0068180672056677 6.344264395444904, 1.006664524616321 6.344010058254644, 1.0064342107323014 6.343913410089435))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cf5,Maritime,Avé,Avé 1,Edzi,"MULTILINESTRING ((0.8714566666666667 6.4009566666666675, 0.8714054751826944 6.400878125262582, 0.8713634719137939 6.40076594515883, 0.8713188434405875 6.400713768357993, 0.8712072722575709 6.400709855097715, 0.8710445095905823 6.4007111595178126, 0.8708830595257468 6.400717681618242, 0.870679606192011 6.4007072462575145, 0.8705929744499045 6.4007072462575145, 0.8705352199551666 6.4007163771981626, 0.8705076553099506 6.400795946816903, 0.8705102805142568 6.400923779948917, 0.8705260317400942 6.4011142251678885, 0.8705837862348322 6.40117683727916, 0.870670417976939 6.401185968211413, 0.8708594326869902 6.401135095872499, 0.8710668238271854 6.401067266079399, 0.8712492755264711 6.401035960018002, 0.8714579792688192 6.400956390436658))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cf6,Kara,Bassar,Bassar 4,Sanda-Afohou,"MULTILINESTRING ((0.9546469626346714 9.46706428851396, 0.9546553576280058 9.467201747378736, 0.9544253348106453 9.46722990159727, 0.9543883968399741 9.467122253102199))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cf7,Maritime,Avé,Avé 1,Ando,"MULTILINESTRING ((0.8426390018401184 6.523822927714588, 0.842924179415858 6.523929764946584))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cf8,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,"MULTILINESTRING ((1.2282688880303825 6.295584456090297, 1.2283115842406183 6.295593390559033, 1.2283677634646124 6.295622427581367, 1.2284913577573997 6.295698370555179, 1.2285969746985084 6.295754210970015, 1.2286756256121 6.295798883297561, 1.2287228161602552 6.295823453076073, 1.2287407935119332 6.295850256469487, 1.2287520293567322 6.29591949856274))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cf9,Kara,Kozah,Kozah 1,Commune De Kara,"MULTILINESTRING ((1.1726300991622667 9.560821503933896, 1.1717946535661992 9.558828058687936))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cfa,Kara,Kéran,Kéran 2,Hélota,"MULTILINESTRING ((0.7826654583151886 9.943656580755958, 0.7825970539986187 9.943564703357264, 0.7823141088709874 9.943469763351482, 0.7820218358820057 9.943258445175083, 0.7819658687139027 9.943010375837146, 0.782084021624342 9.942731680430436, 0.782391841048908 9.942857246522212, 0.7824882289495296 9.943016501008248, 0.7828147040967965 9.943154317327766, 0.7829048734231845 9.943399323974528))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cfb,Kara,Kéran,Kéran 2,Hélota,"MULTILINESTRING ((0.8074957460032656 9.947000589341123, 0.8076109612766297 9.946986403921743, 0.8077461176549992 9.947018048317986, 0.8079012151383741 9.946973309687912, 0.8079743325233933 9.946704877778844))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cfc,Kara,Kéran,Kéran 2,Ataloté,"MULTILINESTRING ((0.912552393462326 9.922402601364729, 0.9127516368939821 9.922498584060882))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cfd,Kara,Bassar,Bassar 1,Bassar,"MULTILINESTRING ((0.787156976988846 9.27058314188988, 0.7883399037661221 9.270745371240444))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cfe,Kara,Dankpen,Dankpen 1,Katchamba,"MULTILINESTRING ((0.5453872774358786 9.841636793269647, 0.5453749999999999 9.84175, 0.5454271791024847 9.841830341380685, 0.5454901009613635 9.841866631638878))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cff,Maritime,Lacs,Lacs 2,Aklakou,"MULTILINESTRING ((1.7239766104368863 6.362681730541302, 1.724069379455667 6.362443101428176, 1.724031180447934 6.362155661667501, 1.72381835740485 6.361889915330628, 1.7234199963242058 6.36164586245122, 1.7227815271949545 6.361884491934568, 1.7226723871728604 6.362025500213551))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d00,Maritime,Lacs,Lacs 2,Aklakou,"MULTILINESTRING ((1.725106151447225 6.364492355583872, 1.725106151447225 6.364492355583872, 1.725106151447225 6.364492355583872, 1.725106151447225 6.364492355583872))"
