FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f87,Centrale,Blitta,Blitta 1,Blitta,Ditcheyidadi,Ditcheyidadi,Tondja -ditcheyidadi,"{Lundi,Mardi,jeudi,Mercredi,Vendredi,Samedi,Dimanche}",1988,{Construit et Utilise},{Elevage traditionnel},{WCs},"POLYGON ((0.9571714041199594 8.280262975619335, 0.9572670066214604 8.280233866113898, 0.9572456799095873 8.280187290900724, 0.9571537544273753 8.28022222231112, 0.9571714041199594 8.280262975619335))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f86,Centrale,Blitta,Blitta 1,Blitta,Tondja,Ferme Panouzi,"Blitta gare,tondja","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche,Samedi}",2012,{Construit et Utilise},{Elevage traditionnel},"{Douches,WCs,Latrines seches}","POLYGON ((0.9585512997277702 8.279601520611893, 0.9585906537242934 8.279445745322898, 0.958484397933681 8.279313336278792, 0.9583269819475885 8.279278286818489, 0.9581105349667114 8.279418484640985, 0.9580947933681024 8.279558682413562, 0.9582167907573239 8.279648253186574, 0.9585512997277702 8.279601520611893))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f85,Centrale,Blitta,Blitta 1,Blitta-Village,Tomegbe,Sowougan,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Construit et Utilise},"{Elevage traditionnel,autre}",{autre},"POLYGON ((1.0109766651678926 8.368533488525834, 1.010995 8.368776666666667, 1.0104666666666666 8.368811666666666, 1.0104166666666667 8.368821666666665, 1.009245 8.368691666666667, 1.009395 8.368314999999999, 1.0094931227542745 8.367664383100847, 1.010850547796623 8.367839398386165, 1.0109766651678926 8.368533488525834))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f84,Centrale,Blitta,Blitta 1,Blitta-Village,Yomaboua,Anah,Yomaboua,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2008,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.9910195178967319 8.388927454962944, 0.9909016994527831 8.38872474560423, 0.99113221379964 8.388603119938237, 0.9912534472709497 8.388800761626142, 0.9910195178967319 8.388927454962944))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f83,Centrale,Sotouboua,Sotouboua 2,Kériadé,N'djavezi 3,Élevage Patchassi,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2016,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.9430528627664554 8.636944297879065, 0.9430452534218311 8.636819415182027, 0.9427819700978324 8.636858535067473, 0.9428032762627803 8.636989436193124, 0.9430528627664554 8.636944297879065))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f82,Centrale,Sotouboua,Sotouboua 3,Kazaboua,Kaza-pouwedou,Ferme Louis,Kazaboua/kaza_pouwedou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},{Douches},"POLYGON ((1.1537924389074137 8.428870874626242, 1.1540657449562808 8.428881873848763, 1.154052016461777 8.42906294323464, 1.1537866697126793 8.429057930987662, 1.1537924389074137 8.428870874626242))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f81,Centrale,Blitta,Blitta 2,Agbandi,Mono,Ferme Waguegna,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.2187033333333335 8.247421666666666, 1.2184866666666667 8.247958333333335, 1.21825 8.24789, 1.2184083333333333 8.247358333333333, 1.2187033333333335 8.247421666666666))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f80,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Djove,Kudahe,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2021,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.2275184427992634 6.353469511899234, 1.2276705014661538 6.353608477158882, 1.2278446288383573 6.3533688981627865, 1.2276965624322307 6.3532462672912695, 1.2275184427992634 6.353469511899234))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7f,Centrale,Blitta,Blitta 1,Yaloumbè,Zongo,Ferme Komou,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2000,{En construction},{elevage industriel},"{Douches,WCs}","POLYGON ((1.0708090245074968 8.312067711821014, 1.070751049976029 8.31122908150905, 1.0713473594425553 8.311272788670578, 1.0713445987505807 8.312089565355656, 1.0708090245074968 8.312067711821014))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7e,Centrale,Sotouboua,Sotouboua 1,Tabindè,Katada,Mille Et Une Merveille,Tabende/katada,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},"{Latrines a eau,Douches}","POLYGON ((1.069910155887927 8.512571494812875, 1.0711523882988248 8.511865027834215, 1.0722759293785908 8.515073612545232, 1.0715094827505334 8.515538747425332, 1.069910155887927 8.512571494812875))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7d,Plateaux,Agou,Agou 2,Agotimé-Nord,Kotokope,Dorikko,Dorikko-kotokope,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,{En construction},{elevage industriel},{WCs},"POLYGON ((0.7361502184882118 6.72244283151523, 0.7370747971541647 6.7219032574217925, 0.7359643495811384 6.719825418258172, 0.7350636002622458 6.720355528410148, 0.7361502184882118 6.72244283151523))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7c,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Djove,Abalo,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2020,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.2273611055807283 6.353718459632416, 1.227516333694093 6.353514014329561, 1.2272765504295458 6.35331458601109, 1.2270859858350895 6.353586761747247, 1.2273282931340002 6.353761104654672, 1.2273611055807283 6.353718459632416))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7b,Plateaux,Ogou,Ogou 1,Houdou,Foukotelogodohoe,Ferme Amegan,91638305,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((1.154605600278641 7.613178048323395, 1.1546123419801377 7.612993172035124, 1.154473013482537 7.613010991439875, 1.1544595300795433 7.613164683775107, 1.154605600278641 7.613178048323395))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7a,Maritime,Avé,Avé 2,Aképé,Kpekome,La Sagesse,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2007,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.0664805020269874 6.2479569869068, 1.0674524210426188 6.247359732656549, 1.0670459821815368 6.24670977872746, 1.0662151462157325 6.247318377251369, 1.0664805020269874 6.2479569869068))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f79,Plateaux,Kloto,Kloto 1,Tové,Kpeda,Klu,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.7205932657767548 6.907322318390711, 0.7206095028330816 6.906936531868271, 0.7212330057960342 6.906994561058885, 0.7212135213284421 6.907385720602455, 0.7205932657767548 6.907322318390711))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f78,Plateaux,Kloto,Kloto 1,Tové,Agou Nyogbo,Amekulafe,Agou nyogbo / agou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2008,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.713275 6.8741916666666665, 0.7128466666666667 6.874275, 0.7127666666666667 6.873944999999999, 0.7132066327046703 6.873856291456939, 0.713275 6.8741916666666665))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f77,Plateaux,Agou,Agou 1,Assahoun-Fiagbé,Agbave,Ferme D'élevage De Agbave,Nsp,Nsp,Nsp,"{Inacheve,En construction}",{Elevage traditionnel},{autre},"POLYGON ((0.7618954690542772 6.761248852512074, 0.7620547200249157 6.761744022694615, 0.7621956962940054 6.762228822329414, 0.7615430283815526 6.762576218560014, 0.7610452604172816 6.761524835233094, 0.7618954690542772 6.761248852512074))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f76,Plateaux,Est-Mono,Est-Mono 3,Nyamassila,Andrime-cope,Ferme Koumbeou,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche,Samedi}",erne,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.1942986465834464 7.952504459949191, 1.194498182509205 7.952461972290264, 1.1944752358777424 7.952268307556623, 1.1942886697871584 7.952274236070232, 1.1942986465834464 7.952504459949191))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f75,Maritime,Golfe,Golfe 3,Bè-Ouest,Gazepe,Ferme D'élevage Gazepe,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2020,{autre},{Elevage traditionnel},{autre},"POLYGON ((1.2104666666666666 6.154676666666668, 1.2105405452697224 6.154704704521213, 1.2106233956246253 6.154530598330021, 1.210538662307111 6.154502516680936, 1.2104666666666666 6.154676666666668))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f74,Plateaux,Agou,Agou 1,Agou-Nyogbo-Agbétiko,Lavie Alloh,Mereda Yaokouma,Lavie alloh/kpalime,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",1992,{Ferme},{Elevage traditionnel},{Douches},"POLYGON ((0.7435252797775176 6.989012502014925, 0.7439655312408926 6.988966504099331, 0.7439655312408926 6.988966504099331, 0.7438981243182706 6.988316260353649, 0.7435000021815344 6.988322532805678, 0.7435252797775176 6.989012502014925))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f73,Plateaux,Kloto,Kloto 3,Agomé-Yoh,Avloto,Ferme Awadi,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,{Construit et Utilise},{Elevage traditionnel},"{Latrines seches,Douches}","POLYGON ((0.6073954941122207 6.943965179421158, 0.6073971706611319 6.943857003080905, 0.6072127502809126 6.943861995835618, 0.6072127502809126 6.943955193913867, 0.6073954941122207 6.943965179421158))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f72,Maritime,Golfe,Golfe 3,Bè-Ouest,Massohoin,Awoudji,Amoutieve/massohoin,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2012,{Construit et Utilise},{elevage industriel},{autre},"POLYGON ((1.2142693475383934 6.203956198647801, 1.2142751860124823 6.203778200664283, 1.2141263049232118 6.203768526859107, 1.2141146279750339 6.203950394366677, 1.2142693475383934 6.203956198647801))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f71,Plateaux,Amou,Amou 1,Imlè-Adiva,Soto,Ferme Scoops Israël,Soto,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((0.9605575181225632 7.46020430258645, 0.9604474965175025 7.459698011399579, 0.9609806781420271 7.459555354661031, 0.961099162947477 7.460061646012964, 0.9605575181225632 7.46020430258645))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f70,Plateaux,Amou,Amou 1,Amlamé (Ouma),Adamkope,Ferme Teyo,Adamkope,"{Lundi,Mardi,Mercredi,jeudi,Samedi,Vendredi,Dimanche}",2000,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((0.92 7.401685, 0.9197083333333332 7.401218333333333, 0.9201666666666667 7.400981666666667, 0.9204899999999999 7.401468333333335, 0.92 7.401685))"
