FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,village,barrage_nom_officiel,barrage_type,barrage_utilisation,geometry
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_642e,Maritime,Avé,Avé 1,Ando,Adekpui,Nsp,Retenue d'eau,{autre},"MULTIPOLYGON (((0.80575 6.478061666666667, 0.8057447878677366 6.47814059312714, 0.8058177577194184 6.47821698119802, 0.8058991972860268 6.478126998638736, 0.805927864013473 6.478051257910931, 0.8059663034889125 6.478023421572214, 0.8058763942073762 6.477958685894842, 0.80575 6.478061666666667)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_642f,Maritime,Avé,Avé 1,Kévé,Seve-kpota,Nsp,Retenue d'eau,"{elevage,irrigation}","MULTIPOLYGON (((0.9621006450743023 6.434965844329748, 0.9619263076928029 6.434798792404505, 0.9619621091193606 6.4346765969799575, 0.962100645074302 6.434668863091339, 0.962496017350202 6.4348405553909656, 0.9624399803347201 6.434964297552913, 0.9623247931362297 6.435018434739287, 0.9622998877960156 6.435055557378038, 0.9621006450743023 6.434965844329748)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6430,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoé,Barrage Togbato de Nyekonakpoé,Retenue d'eau,"{irrigation,elevage}","MULTIPOLYGON (((1.1997724007862218 6.135243965454184, 1.1997799442442665 6.134313933387056, 1.2004179713650693 6.134470880596866, 1.2010085087676905 6.134620665240756, 1.2017557193587611 6.134818380906247, 1.2027017843813268 6.135093984438814, 1.203575538701531 6.135333639568695, 1.2039611957807939 6.13545945846875, 1.2045155778322338 6.135591268713144, 1.2054375392873453 6.135842906361918, 1.2062269311214608 6.136064587049311, 1.2077005295187984 6.136525156774812, 1.2092167815184836 6.136960030792481, 1.2107511987160477 6.1372764834515685, 1.2105332150832067 6.1379430339908465, 1.2101658577266088 6.138610921896224, 1.2098929636902784 6.139122273007827, 1.209735524823165 6.139090965811019, 1.2096095737294748 6.139174451665086, 1.2081793453570913 6.138833725794343, 1.206575812328587 6.138245338871955, 1.205467441190087 6.1377624098734, 1.2056420817618716 6.136685844020951, 1.2035463949004586 6.1362691082683485, 1.1997724007862218 6.135243965454184)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6431,Savanes,Oti,Oti 2,Galangashie,Nagouni,N/a,Mare naturelle,{autre},"MULTIPOLYGON (((0.2226334859921552 10.414604080222214, 0.2231829578021116 10.413916749813962, 0.2241538691556269 10.413218924261436, 0.2246766675767504 10.413093000687104, 0.2244846191771541 10.413239911518877, 0.2241218610890274 10.414289272589732, 0.2243992643328889 10.415154992814069, 0.2249007240429463 10.416004970331533, 0.22523680874224 10.416204347438292, 0.2257862805521964 10.416639828570068, 0.2263784297842854 10.416980867585766, 0.2263784297842854 10.416980867585766, 0.2271519580604377 10.417143516831054, 0.22792548633659 10.417537022718536, 0.2281868855471517 10.417914787903063, 0.2279468250476561 10.418135150715896, 0.2275733976039965 10.417909541167525, 0.2273973532376998 10.418066943195239, 0.2271199499938383 10.4180144758615, 0.2269652443386079 10.418024969328954, 0.2267571919057117 10.418082683393637, 0.2265491394728156 10.418024969328954, 0.2263304176843863 10.417752139060303, 0.2261437039625565 10.417437334607362, 0.2255888974748335 10.417085802592437, 0.2251301151869087 10.41672377667009, 0.224916728076246 10.416645075326977, 0.2244846191771541 10.416151879790982, 0.2242605627109582 10.41614663302576, 0.2240311715669958 10.415611462509727, 0.2238924699450651 10.415275668775623, 0.2235297118569385 10.415002836100301, 0.2233643368461749 10.41497135539163, 0.2232683126463767 10.415600968961009, 0.2230282521468812 10.416172866850964, 0.2231136069911464 10.416482425821561, 0.2232309699020109 10.41693364682123, 0.2234283529793738 10.417384867167621, 0.2238017804230335 10.418030216062547, 0.2236097320234371 10.418528655351224, 0.2229855747247487 10.417578996650535, 0.2229002198804836 10.417589490132654, 0.2226814980920543 10.416435204981513, 0.2225801392144895 10.416099412134836, 0.2222173811263629 10.415464552795562, 0.2226334859921552 10.414604080222214)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6432,Maritime,Zio,Zio 4,Gapé-Centre,Lome5,Nsp,Retenue d'eau,"{elevage,autre}","MULTIPOLYGON (((1.1322133333333333 6.559738333333333, 1.1331253683843787 6.560566262353274, 1.131959414483895 6.561472324242544, 1.1310991996062043 6.5608494068706955, 1.1322133333333333 6.559738333333333)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6433,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Dagbesito,N/a,Mare naturelle,{autre},"MULTIPOLYGON (((1.1104688239242413 6.2555656277277, 1.1106050513533392 6.255521538698564, 1.1106874214267473 6.255420763760856, 1.1107159341444655 6.255342033327255, 1.1107444468621839 6.255272750535876, 1.1107507830216767 6.255228661482036, 1.1107381107026908 6.255184572424477, 1.1107095979849728 6.255149931019499, 1.1106810852672546 6.255134184925569, 1.1106240598318182 6.2551373341443925, 1.110582874795114 6.2551404833631965, 1.1105416897584102 6.255131035706726, 1.1105100089609454 6.2551373341443925, 1.1104783281634807 6.255162527894302, 1.1104434792862696 6.255266452099841, 1.1104466473660162 6.255430211412094, 1.1104308069672837 6.255530986347979, 1.1104244708077908 6.255584523024765, 1.11043397504703 6.25561916440094, 1.1104624877647487 6.2556412089118565, 1.1104751600837344 6.255644358127626, 1.1104688239242413 6.2555656277277)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6434,Maritime,Avé,Avé 1,Ando,Adekpui,Nsp,Retenue d'eau,{autre},"MULTIPOLYGON (((0.8055083333333334 6.478313333333333, 0.8056479830860872 6.4784272750071334, 0.8054691958230076 6.478712745219809, 0.8054691958230076 6.478712745219809, 0.8053126457817038 6.478583709168449, 0.8055083333333334 6.478313333333333)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6435,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Klouvi Kpota,N/a,Mare naturelle,{autre},"MULTIPOLYGON (((1.107137015564207 6.253308616984036, 1.1070445083184526 6.253237880954438, 1.1069852088019434 6.253254386028867, 1.1069377691887359 6.253372279402494, 1.1069259092854342 6.253466594082258, 1.1069709769179812 6.253518467148877, 1.1070658561443958 6.253563266611359, 1.107103807834962 6.253610423936142, 1.1071417595255277 6.253652865524812, 1.1072318947906221 6.253655223390749, 1.1073433778816595 6.253641076194972, 1.107386073533546 6.253629286864866, 1.1074097933401497 6.253608066070006, 1.1073481218429801 6.25353261434797, 1.1072769624231689 6.2535208250154195, 1.1072366387519428 6.253461878348674, 1.107239010732603 6.253445373280796, 1.1072105469646782 6.253405289542348, 1.107137015564207 6.253308616984036)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6436,Maritime,Avé,Avé 1,Kévé,Dangbouikope,Barrage de Dangbouicopé,Retenue d'eau,{elevage},"MULTIPOLYGON (((0.9554080272661489 6.406162169654657, 0.9553358038198267 6.40615832470048, 0.9552958229834696 6.40613525497481, 0.9552364965811335 6.406069890746412, 0.9552132819019585 6.406028877892949, 0.9552210201283502 6.405990428339831, 0.9552455245119237 6.405948133828057, 0.9553358038198267 6.405867389750392, 0.9554196346057363 6.405800743835392, 0.955480250712471 6.405762294265087, 0.9555163624356321 6.405682831810611, 0.9555382874104084 6.405680268505422, 0.9556143799699263 6.40555851149411, 0.9556672578502694 6.40549827380409, 0.9557446401141859 6.405404713122512, 0.9558387885352846 6.405298335888376, 0.9559161707992013 6.405226563284144, 0.9559548619311595 6.405168888862716, 0.9560000015851109 6.405163762247161, 0.9559484134091666 6.405326532265851, 0.9559277781387888 6.405457260904689, 0.9559071428684108 6.405571328022986, 0.9558284709000957 6.405691803378674, 0.9557343224789969 6.4058071520968305, 0.9556930519382414 6.405900712704628, 0.9555408668192056 6.405975048517776, 0.9554454286937083 6.4060916788234765, 0.9554080272661489 6.406162169654657)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6437,Maritime,Avé,Avé 1,Ando,Adekpui,Nsp,Retenue d'eau,{autre},"MULTIPOLYGON (((0.8061498730595695 6.477949214624044, 0.8060946567350858 6.477848336036869, 0.8062131046569627 6.477796126935585, 0.8062460563344772 6.477885501834491, 0.8061498730595695 6.477949214624044)))"
