FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,etab_adr,ouverture_jour,organisme,geometry
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3de7,Maritime,Avé,Avé 1,Kévé,Keve vogancope,"{Lundi,Mercredi,Mardi,Jeudi,Vendredi,Samedi,Dimanche}",FAPV,"MULTIPOLYGON (((1.0315376399628242 6.464629891077268, 1.031952336987487 6.464277998842111, 1.032598236778113 6.464750227225846, 1.0332973499037617 6.465041951103533, 1.0333010197889356 6.465247980990738, 1.0330019241472537 6.465785846229785, 1.0328477889699452 6.4657730833324365, 1.0324625416659792 6.465525115867739, 1.0315376399628242 6.464629891077268)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3de6,Maritime,Avé,Avé 1,Kévé,Keve,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",LORENOVICH INTERNATIONAL,"MULTIPOLYGON (((1.0191916666666667 6.4636000000000005, 1.0184266666666666 6.463236666666668, 1.0187866666666667 6.462558333333334, 1.0195733333333334 6.462948333333332, 1.019192876054497 6.4635977831529345, 1.0191916666666667 6.4636000000000005)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3de5,Maritime,Avé,Avé 1,Assahoun,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,"MULTIPOLYGON (((0.9091987755001456 6.471236061937484, 0.9091464723211685 6.471447939310089, 0.9090110204986891 6.471639828174623, 0.9088849564262825 6.471707788796663, 0.9086234405313967 6.471670477083734, 0.9087521868181095 6.471613176947795, 0.9089158018908073 6.471501241779772, 0.9090405248560608 6.471224068876001, 0.9091424489997084 6.471192087377316, 0.9091987755001456 6.471236061937484)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3de4,Maritime,Vo,Vo 1,Vogan,Rue légbanou,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",FERME DOKOE,"MULTIPOLYGON (((1.533303786727484 6.364426204034193, 1.5332124757266725 6.364433735008852, 1.533203761398794 6.364484192536221, 1.5331802706019049 6.364525989439463, 1.5331988359091238 6.364574940763267, 1.5333011345407381 6.3645854841247065, 1.533327277524373 6.364495112448204, 1.533303786727484 6.364426204034193)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3de3,Maritime,Vo,Vo 1,Vogan,Non loin de la nationale 34,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Informel,"MULTIPOLYGON (((1.5527386421357192 6.334113832420571, 1.5527368210678594 6.334203726648155, 1.5527665651762392 6.334203726648155, 1.5527702073119591 6.334113832420572, 1.5527386421357192 6.334113832420571)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3de2,Maritime,Vo,Vo 1,Vo-Koutimé,Caf de koutime près du lycée de koutime,"{Dimanche,Samedi,Jeudi,Mercredi,Vendredi,Mardi,Lundi}",Nsp,"MULTIPOLYGON (((1.5576528506152252 6.356080838785726, 1.5574262951140754 6.35593319097386, 1.557585998172263 6.355704336781713, 1.5578175057062258 6.355863058248378, 1.5576528506152252 6.356080838785726)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3de1,Maritime,Vo,Vo 2,Togoville,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Public,"MULTIPOLYGON (((1.4797281033778935 6.228956350207656, 1.4812627852434777 6.229167752681937, 1.4814860761384703 6.227779541544887, 1.4797777235767804 6.227737260945039, 1.4797281033778935 6.228956350207656)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3de0,Maritime,Vo,Vo 2,Togoville,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",PASA,"MULTIPOLYGON (((1.5139804416431157 6.233079056952965, 1.5142754629938504 6.233167625023859, 1.514349008202367 6.232871005482323, 1.5140758402850203 6.232813352650559, 1.5139804416431157 6.233079056952965)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3ddf,Maritime,Vo,Vo 2,Togoville,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,"MULTIPOLYGON (((1.512829050404777 6.232590356638424, 1.5128459059287025 6.232058356632708, 1.5134316353851243 6.232087679481714, 1.513402138218254 6.2326825140649085, 1.512829050404777 6.232590356638424)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3dde,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Masseda zogble,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Coopérative LAMESSE,"MULTIPOLYGON (((1.6853272795669076 6.454860479136679, 1.6853002285282486 6.45439815058153, 1.6856437767192127 6.454383366812627, 1.6856762379656032 6.454841663447904, 1.6853272795669076 6.454860479136679)))"
